iter	RMSE
0	17387.2973
1	17225.34466
2	17070.02863
3	16910.79174
4	16755.87915
5	16596.05724
6	16443.2442
7	16291.60883
8	16139.71223
9	15992.3206
10	15849.54159
11	15702.88042
12	15556.08744
13	15416.33094
14	15272.65426
15	15130.34962
16	14994.18366
17	14858.06964
18	14721.20505
19	14584.30001
20	14453.25224
21	14317.41399
22	14186.6872
23	14055.90203
24	13928.97274
25	13803.56996
26	13676.18355
27	13549.46132
28	13422.96132
29	13300.50694
30	13177.5762
31	13059.73339
32	12936.72333
33	12817.27613
34	12698.25838
35	12577.4876
36	12466.08698
37	12354.29187
38	12239.28802
39	12127.90913
40	12016.71768
41	11906.46118
42	11794.9904
43	11685.607
44	11575.79277
45	11469.91066
46	11365.45062
47	11262.06414
48	11158.4105
49	11057.96581
50	10957.61832
51	10857.5238
52	10761.46356
53	10666.39825
54	10568.83109
55	10472.0012
56	10375.57681
57	10279.10906
58	10185.97182
59	10093.63678
60	10003.34352
61	9916.337356
62	9826.380256
63	9736.202444
64	9646.873923
65	9558.317508
66	9468.515433
67	9382.37108
68	9295.798495
69	9213.170903
70	9127.251175
71	9047.269509
72	8968.331812
73	8887.521932
74	8805.139234
75	8729.374596
76	8649.887535
77	8569.712518
78	8491.863567
79	8417.847591
80	8345.262956
81	8268.865371
82	8192.678703
83	8120.878477
84	8048.19096
85	7977.869066
86	7905.087712
87	7835.352304
88	7765.317357
89	7697.206128
90	7627.357597
91	7561.424515
92	7492.69305
93	7424.629488
94	7357.779482
95	7293.498879
96	7229.290124
97	7166.242798
98	7099.903637
99	7036.007754
100	6973.157025
101	6910.941368
102	6849.562222
103	6789.504842
104	6730.216709
105	6670.067428
106	6612.512504
107	6554.231612
108	6497.668697
109	6441.381994
110	6383.143571
111	6327.010138
112	6270.549279
113	6216.905005
114	6162.697247
115	6107.417705
116	6053.405055
117	5999.023281
118	5947.668643
119	5894.229186
120	5843.505466
121	5793.341532
122	5742.577865
123	5694.352323
124	5645.13132
125	5596.993926
126	5550.093193
127	5503.320833
128	5454.410012
129	5407.36419
130	5360.1346
131	5312.997
132	5267.614633
133	5221.818801
134	5177.768183
135	5134.776958
136	5091.405256
137	5046.966247
138	5002.850523
139	4960.003961
140	4917.054068
141	4874.559816
142	4832.245383
143	4793.109418
144	4752.485735
145	4712.313181
146	4673.416569
147	4634.798115
148	4595.859631
149	4559.319944
150	4521.742015
151	4483.82537
152	4446.283378
153	4407.799207
154	4371.320206
155	4335.100085
156	4299.368728
157	4263.020186
158	4227.467583
159	4192.30944
160	4157.04066
161	4123.295328
162	4088.802738
163	4055.637427
164	4021.341606
165	3988.392959
166	3955.125574
167	3922.801272
168	3890.454559
169	3858.311809
170	3827.432771
171	3797.137438
172	3766.029469
173	3735.945589
174	3706.218521
175	3677.446679
176	3649.612084
177	3620.732824
178	3591.040814
179	3562.953944
180	3534.642022
181	3505.871636
182	3477.739839
183	3450.174282
184	3422.965669
185	3396.144647
186	3368.786836
187	3342.825126
188	3317.54559
189	3292.332581
190	3267.1873
191	3241.518079
192	3216.154057
193	3191.708955
194	3166.976908
195	3143.02931
196	3119.144136
197	3095.054183
198	3071.32824
199	3047.680586
200	3024.779715
201	3002.839526
202	2981.085473
203	2959.588766
204	2938.165454
205	2917.084137
206	2895.209297
207	2874.311187
208	2853.534718
209	2833.031289
210	2813.042031
211	2792.89379
212	2772.493525
213	2752.549081
214	2733.541919
215	2713.958708
216	2694.637003
217	2675.844171
218	2657.616927
219	2638.89963
220	2621.364103
221	2603.462041
222	2586.008352
223	2568.127638
224	2549.969724
225	2532.793859
226	2515.764253
227	2498.454448
228	2482.051805
229	2465.306694
230	2449.546413
231	2433.324201
232	2417.534923
233	2402.644972
234	2386.670484
235	2371.621684
236	2356.795939
237	2341.211485
238	2326.639113
239	2312.351297
240	2297.674539
241	2283.096258
242	2268.983263
243	2255.611768
244	2241.440738
245	2227.519379
246	2214.029796
247	2200.012301
248	2186.810841
249	2174.165836
250	2161.158851
251	2148.620065
252	2135.753791
253	2123.456627
254	2111.272658
255	2099.144453
256	2087.120566
257	2074.882383
258	2063.616238
259	2051.676404
260	2039.552682
261	2027.885955
262	2016.388932
263	2005.439548
264	1994.262986
265	1983.092802
266	1972.802455
267	1962.299349
268	1951.477145
269	1940.623249
270	1930.352472
271	1919.899094
272	1909.53757
273	1899.538163
274	1889.649551
275	1879.922334
276	1870.348538
277	1861.147721
278	1851.904892
279	1842.605439
280	1833.411588
281	1824.281495
282	1814.994591
283	1806.084884
284	1797.70351
285	1789.999021
286	1781.589629
287	1773.207258
288	1764.937162
289	1756.858071
290	1748.800508
291	1741.12874
292	1733.33331
293	1725.517586
294	1718.55065
295	1710.778724
296	1702.955456
297	1695.151014
298	1687.78779
299	1680.645643
300	1673.477685
301	1666.112735
302	1658.752623
303	1651.73475
304	1644.955147
305	1638.66043
306	1632.388959
307	1625.195972
308	1618.726389
309	1612.144751
310	1606.080606
311	1600.070831
312	1594.200037
313	1588.54776
314	1582.586604
315	1576.840129
316	1570.92226
317	1565.443238
318	1559.821083
319	1554.882306
320	1548.904526
321	1543.276859
322	1538.008293
323	1532.92552
324	1527.589148
325	1522.003127
326	1517.131883
327	1512.335988
328	1507.230173
329	1502.267779
330	1497.351887
331	1492.491853
332	1487.694324
333	1483.017105
334	1478.202542
335	1473.391446
336	1468.406465
337	1464.259036
338	1459.224203
339	1455.050698
340	1450.385142
341	1446.367997
342	1442.16554
343	1437.879277
344	1434.11427
345	1430.170641
346	1426.014168
347	1422.273755
348	1417.828748
349	1413.99105
350	1410.144851
351	1406.331412
352	1402.338792
353	1398.559883
354	1394.786689
355	1391.315641
356	1387.684967
357	1383.609073
358	1380.330393
359	1377.044486
360	1373.621076
361	1370.108563
362	1366.859607
363	1363.766449
364	1360.662423
365	1357.459963
366	1354.173802
367	1351.000489
368	1347.973405
369	1344.818059
370	1341.855304
371	1338.417427
372	1335.431287
373	1332.271049
374	1329.408126
375	1326.452231
376	1323.96646
377	1321.294827
378	1318.779311
379	1315.9933
380	1313.071857
381	1310.196162
382	1307.230539
383	1304.5838
384	1301.364227
385	1298.703595
386	1296.211445
387	1293.470496
388	1290.708844
389	1288.19878
390	1285.615472
391	1283.80366
392	1281.151894
393	1278.6767
394	1276.590245
395	1274.563906
396	1272.466131
397	1270.388402
398	1268.021427
399	1266.058215
400	1263.27473
401	1261.310412
402	1259.094182
403	1256.5713
404	1254.839958
405	1252.422128
406	1250.292461
407	1248.725388
408	1246.971214
409	1245.090081
410	1242.936661
411	1240.961006
412	1238.935921
413	1236.884328
414	1234.90069
415	1233.151704
416	1230.88335
417	1229.239111
418	1227.643617
419	1225.867266
420	1223.897539
421	1222.404419
422	1220.31182
423	1218.570383
424	1216.651904
425	1214.669858
426	1212.661019
427	1210.568346
428	1208.541474
429	1207.085454
430	1205.419734
431	1203.937009
432	1202.139918
433	1200.670916
434	1199.103272
435	1197.239052
436	1195.527001
437	1194.185917
438	1192.885881
439	1191.377513
440	1190.192786
441	1188.770444
442	1187.175
443	1185.44183
444	1184.284935
445	1183.073401
446	1181.439637
447	1179.795605
448	1178.596293
449	1177.422145
450	1176.152157
451	1174.616216
452	1172.624262
453	1170.974672
454	1169.87665
455	1168.331084
456	1166.327327
457	1164.938606
458	1163.655807
459	1162.015421
460	1160.942952
461	1159.172322
462	1157.675348
463	1156.237191
464	1154.84102
465	1153.730094
466	1152.392523
467	1150.691438
468	1148.9371
469	1147.267942
470	1146.242086
471	1145.238744
472	1144.013523
473	1142.625748
474	1141.791405
475	1140.572649
476	1139.308692
477	1138.027294
478	1136.990698
479	1135.63324
480	1134.428607
481	1133.202807
482	1132.207781
483	1131.449187
484	1130.49084
485	1129.329869
486	1128.127054
487	1126.857424
488	1125.331716
489	1123.883878
490	1123.057245
491	1121.871705
492	1120.981842
493	1119.645797
494	1118.412467
495	1117.169627
496	1116.365383
497	1115.212699
498	1114.338601
499	1113.294237
500	1112.046823
501	1111.111459
502	1109.887073
503	1109.103291
504	1108.198606
505	1107.157748
506	1105.921257
507	1105.024088
508	1104.051114
509	1102.94862
510	1101.885493
511	1101.001746
512	1100.13335
513	1099.359195
514	1097.989127
515	1097.358479
516	1096.189707
517	1095.110906
518	1094.263752
519	1093.138057
520	1092.255946
521	1091.162266
522	1090.480789
523	1089.325514
524	1088.455973
525	1087.673813
526	1086.990397
527	1086.137908
528	1085.25449
529	1084.457302
530	1083.307907
531	1082.342035
532	1081.438805
533	1080.635232
534	1079.829025
535	1079.207211
536	1077.936567
537	1076.755586
538	1075.564447
539	1074.506706
540	1073.477683
541	1072.777468
542	1071.980729
543	1070.957417
544	1070.033365
545	1069.330686
546	1068.38968
547	1067.337043
548	1066.342068
549	1065.395332
550	1064.480407
551	1063.345955
552	1062.550574
553	1061.523139
554	1061.145671
555	1060.375768
556	1059.30476
557	1058.525264
558	1057.555281
559	1056.616122
560	1055.592021
561	1054.438238
562	1053.320393
563	1052.357667
564	1051.353464
565	1050.534597
566	1049.966815
567	1049.05436
568	1048.260568
569	1047.656669
570	1046.517431
571	1045.912787
572	1044.978318
573	1044.266622
574	1043.388252
575	1042.763852
576	1042.080207
577	1041.235093
578	1040.399018
579	1039.704167
580	1038.732297
581	1038.159875
582	1037.215198
583	1036.43062
584	1035.672831
585	1034.715982
586	1034.067009
587	1033.288115
588	1032.241871
589	1031.703575
590	1030.611434
591	1029.978322
592	1029.244299
593	1028.452545
594	1027.801798
595	1027.213253
596	1026.289874
597	1025.461918
598	1024.921495
599	1023.803454
600	1023.131999
601	1022.159476
602	1021.393774
603	1020.663007
604	1020.082513
605	1019.368168
606	1018.550196
607	1017.793969
608	1017.022579
609	1016.028539
610	1015.216859
611	1014.42379
612	1013.669103
613	1012.939115
614	1012.074814
615	1011.306281
616	1010.347029
617	1009.587608
618	1008.707139
619	1008.090905
620	1007.32446
621	1006.752017
622	1005.884728
623	1005.101717
624	1004.457216
625	1003.684414
626	1003.09411
627	1002.457707
628	1001.762387
629	1001.49403
630	1000.899112
631	1000.023354
632	999.4345682
633	998.8314621
634	997.8297599
635	996.9700288
636	996.5875206
637	996.0745135
638	995.4064574
639	994.8251235
640	993.8910957
641	993.4399831
642	992.8919319
643	992.1168089
644	991.4758372
645	990.7853648
646	989.8833143
647	989.2171487
648	988.5546968
649	988.0546416
650	987.4340202
651	986.8646003
652	986.2380855
653	985.4829452
654	984.7915216
655	984.097703
656	983.4263336
657	982.9462407
658	982.0377949
659	981.1595177
660	980.3455292
661	979.3102387
662	978.4675965
663	977.8156346
