iter	Passed	Remaining
0	8	8736
1	17	8723
2	26	8923
3	35	8819
4	43	8678
5	51	8574
6	60	8557
7	69	8584
8	77	8580
9	86	8550
10	94	8535
11	103	8516
12	112	8523
13	121	8523
14	130	8542
15	138	8527
16	147	8533
17	155	8509
18	164	8501
19	173	8506
20	182	8492
21	190	8483
22	199	8487
23	208	8480
24	217	8472
25	225	8440
26	226	8161
27	234	8151
28	242	8131
29	251	8128
30	259	8122
31	268	8110
32	276	8100
33	284	8093
34	293	8089
35	302	8095
36	311	8103
37	320	8117
38	329	8120
39	337	8109
40	342	8005
41	350	8001
42	359	7996
43	367	7993
44	376	7989
45	384	7978
46	392	7967
47	401	7963
48	409	7949
49	417	7939
50	425	7925
51	434	7915
52	443	7925
53	451	7917
54	460	7915
55	469	7915
56	478	7912
57	486	7904
58	495	7905
59	504	7899
60	512	7892
61	521	7886
62	529	7874
63	537	7862
64	546	7861
65	555	7860
66	563	7850
67	572	7847
68	581	7849
69	591	7852
70	601	7876
71	610	7869
72	619	7868
73	627	7856
74	637	7861
75	646	7855
76	654	7850
77	664	7851
78	674	7857
79	682	7846
80	691	7841
81	699	7832
82	708	7830
83	717	7821
84	726	7816
85	734	7808
86	743	7797
87	752	7793
88	760	7782
89	770	7789
90	779	7782
91	787	7775
92	796	7770
93	806	7769
94	815	7764
95	824	7759
96	833	7755
97	841	7748
98	850	7737
99	859	7732
100	868	7728
101	876	7718
102	885	7713
103	894	7707
104	903	7699
105	911	7687
106	919	7677
107	928	7669
108	938	7667
109	946	7658
110	955	7650
111	963	7640
112	972	7635
113	981	7631
114	990	7621
115	999	7613
116	1007	7606
117	1016	7596
118	1024	7588
119	1025	7521
120	1034	7512
121	1043	7509
122	1052	7504
123	1061	7495
124	1069	7487
125	1078	7477
126	1086	7469
127	1095	7460
128	1103	7453
129	1112	7444
130	1121	7437
131	1130	7431
132	1138	7423
133	1147	7416
134	1156	7407
135	1164	7400
136	1173	7392
137	1182	7384
138	1190	7374
139	1199	7367
140	1208	7360
141	1216	7348
142	1224	7337
143	1232	7325
144	1240	7314
145	1249	7307
146	1257	7299
147	1266	7292
148	1274	7281
149	1283	7273
150	1291	7262
151	1300	7252
152	1308	7241
153	1316	7233
154	1325	7225
155	1333	7215
156	1342	7206
157	1351	7200
158	1359	7192
159	1368	7183
160	1377	7176
161	1385	7167
162	1394	7159
163	1402	7149
164	1411	7141
165	1419	7131
166	1427	7122
167	1437	7119
168	1446	7114
169	1455	7108
170	1464	7098
171	1472	7090
172	1481	7080
173	1489	7072
174	1497	7061
175	1506	7051
176	1514	7043
177	1523	7033
178	1531	7024
179	1539	7014
180	1547	7003
181	1556	6994
182	1564	6985
183	1573	6976
184	1581	6967
185	1590	6958
186	1598	6950
187	1607	6941
188	1614	6929
189	1623	6921
190	1631	6912
191	1640	6904
192	1648	6894
193	1657	6884
194	1665	6874
195	1673	6865
196	1681	6855
197	1690	6846
198	1698	6837
199	1707	6828
200	1715	6820
201	1724	6812
202	1732	6802
203	1741	6794
204	1749	6784
205	1757	6775
206	1765	6764
207	1773	6754
208	1782	6745
209	1790	6735
210	1798	6725
211	1806	6714
212	1814	6704
213	1823	6697
214	1831	6687
215	1839	6677
216	1847	6667
217	1856	6659
218	1864	6650
219	1873	6641
220	1881	6632
221	1889	6623
222	1898	6613
223	1906	6605
224	1915	6596
225	1923	6586
226	1931	6577
227	1939	6568
228	1948	6559
229	1957	6553
230	1966	6545
231	1974	6537
232	1983	6528
233	1992	6521
234	2000	6512
235	2009	6505
236	2018	6496
237	2026	6487
238	2035	6480
239	2044	6472
240	2052	6464
241	2060	6455
242	2069	6445
243	2077	6437
244	2086	6429
245	2094	6419
246	2103	6411
247	2111	6401
248	2119	6392
249	2128	6384
250	2136	6374
251	2143	6363
252	2152	6356
253	2161	6349
254	2170	6340
255	2178	6331
256	2186	6322
257	2195	6314
258	2203	6304
259	2211	6295
260	2219	6285
261	2228	6277
262	2237	6269
263	2245	6261
264	2254	6252
265	2262	6243
266	2271	6235
267	2279	6225
268	2287	6216
269	2296	6208
270	2304	6198
271	2313	6190
272	2321	6182
273	2330	6174
274	2339	6166
275	2347	6157
276	2355	6148
277	2364	6139
278	2372	6131
279	2380	6121
280	2388	6111
281	2396	6101
282	2404	6091
283	2412	6082
284	2421	6074
285	2429	6065
286	2438	6057
287	2447	6049
288	2455	6041
289	2464	6033
290	2473	6025
291	2481	6015
292	2489	6007
293	2498	5999
294	2507	5992
295	2516	5984
296	2524	5975
297	2533	5967
298	2541	5958
299	2549	5949
300	2558	5940
301	2567	5933
302	2575	5924
303	2583	5915
304	2592	5907
305	2600	5897
306	2608	5889
307	2619	5886
308	2629	5881
309	2639	5874
310	2648	5867
311	2657	5859
312	2665	5849
313	2673	5841
314	2682	5832
315	2690	5824
316	2699	5817
317	2708	5809
318	2717	5800
319	2726	5793
320	2734	5784
321	2743	5776
322	2751	5768
323	2760	5759
324	2769	5752
325	2778	5744
326	2787	5736
327	2795	5727
328	2804	5719
329	2813	5711
330	2822	5704
331	2831	5697
332	2841	5691
333	2849	5682
334	2858	5674
335	2867	5667
336	2875	5658
337	2884	5648
338	2893	5640
339	2902	5633
340	2910	5625
341	2919	5617
342	2928	5608
343	2937	5600
344	2945	5591
345	2953	5583
346	2963	5576
347	2971	5567
348	2979	5558
349	2987	5548
350	2996	5541
351	3005	5532
352	3014	5524
353	3022	5516
354	3031	5507
355	3039	5498
356	3048	5490
357	3056	5481
358	3065	5473
359	3074	5465
360	3083	5457
361	3092	5449
362	3100	5441
363	3109	5432
364	3118	5425
365	3127	5417
366	3136	5409
367	3145	5401
368	3154	5393
369	3162	5385
370	3171	5377
371	3180	5368
372	3189	5360
373	3197	5352
374	3206	5344
375	3215	5336
376	3224	5328
377	3233	5320
378	3242	5312
379	3250	5303
380	3258	5294
381	3267	5285
382	3275	5276
383	3284	5268
384	3293	5260
385	3301	5252
386	3310	5243
387	3319	5235
388	3327	5226
389	3336	5218
390	3345	5210
391	3346	5190
392	3354	5181
393	3363	5172
394	3371	5163
395	3379	5154
396	3387	5145
397	3397	5138
398	3405	5130
399	3414	5121
400	3423	5113
401	3431	5105
402	3440	5096
403	3448	5087
404	3457	5079
405	3466	5072
406	3475	5063
407	3483	5054
408	3492	5046
409	3501	5038
410	3509	5029
411	3518	5021
412	3527	5013
413	3535	5004
414	3544	4996
415	3553	4989
416	3562	4980
417	3569	4970
418	3578	4962
419	3587	4954
420	3596	4945
421	3604	4937
422	3613	4929
423	3621	4920
424	3630	4912
425	3640	4905
426	3649	4897
427	3657	4888
428	3666	4879
429	3674	4871
430	3683	4862
431	3692	4854
432	3700	4846
433	3710	4839
434	3720	4831
435	3728	4822
436	3737	4815
437	3746	4807
438	3755	4799
439	3764	4791
440	3773	4782
441	3782	4774
442	3790	4766
443	3799	4758
444	3807	4749
445	3816	4740
446	3824	4731
447	3833	4723
448	3842	4714
449	3851	4706
450	3859	4698
451	3868	4690
452	3877	4681
453	3885	4673
454	3894	4664
455	3903	4656
456	3911	4648
457	3919	4638
458	3928	4630
459	3936	4621
460	3945	4613
461	3954	4604
462	3962	4596
463	3971	4587
464	3980	4579
465	3988	4571
466	3997	4562
467	4006	4553
468	4014	4545
469	4023	4536
470	4032	4528
471	4040	4520
472	4049	4511
473	4058	4503
474	4066	4495
475	4075	4486
476	4084	4478
477	4093	4469
478	4101	4461
479	4110	4453
480	4119	4444
481	4127	4435
482	4136	4427
483	4144	4418
484	4152	4409
485	4161	4400
486	4169	4392
487	4178	4383
488	4186	4375
489	4195	4366
490	4204	4358
491	4213	4350
492	4221	4341
493	4230	4333
494	4239	4325
495	4247	4316
496	4256	4307
497	4264	4298
498	4273	4290
499	4281	4281
500	4290	4272
501	4298	4264
502	4307	4255
503	4315	4247
504	4324	4239
505	4333	4230
506	4341	4222
507	4351	4214
508	4360	4206
509	4369	4197
510	4377	4189
511	4386	4180
512	4394	4171
513	4402	4163
514	4411	4154
515	4420	4146
516	4428	4137
517	4437	4128
518	4445	4120
519	4453	4111
520	4462	4103
521	4471	4094
522	4480	4086
523	4489	4077
524	4497	4069
525	4506	4060
526	4514	4052
527	4523	4043
528	4532	4035
529	4541	4027
530	4550	4019
531	4559	4010
532	4567	4002
533	4576	3993
534	4584	3984
535	4593	3976
536	4601	3967
537	4609	3958
538	4618	3950
539	4627	3942
540	4635	3933
541	4645	3925
542	4653	3916
543	4662	3908
544	4671	3900
545	4679	3891
546	4688	3882
547	4696	3873
548	4705	3865
549	4714	3856
550	4722	3848
551	4730	3839
552	4739	3830
553	4747	3822
554	4755	3813
555	4764	3804
556	4772	3796
557	4781	3787
558	4789	3778
559	4798	3769
560	4806	3761
561	4815	3752
562	4824	3744
563	4833	3736
564	4842	3728
565	4851	3720
566	4860	3711
567	4868	3702
568	4876	3694
569	4885	3685
570	4893	3676
571	4902	3668
572	4911	3659
573	4920	3651
574	4928	3642
575	4937	3634
576	4945	3625
577	4954	3617
578	4963	3608
579	4971	3600
580	4980	3592
581	4989	3583
582	4997	3574
583	5006	3566
584	5015	3558
585	5024	3549
586	5032	3540
587	5041	3532
588	5050	3524
589	5058	3515
590	5067	3506
591	5075	3498
592	5084	3489
593	5093	3481
594	5101	3472
595	5109	3463
596	5118	3455
597	5126	3446
598	5135	3437
599	5143	3429
600	5152	3420
601	5161	3412
602	5170	3404
603	5179	3395
604	5187	3387
605	5196	3378
606	5205	3370
607	5213	3361
608	5222	3353
609	5231	3344
610	5240	3336
611	5249	3328
612	5257	3319
613	5265	3310
614	5274	3301
615	5283	3293
616	5292	3284
617	5300	3276
618	5309	3268
619	5317	3259
620	5326	3250
621	5334	3241
622	5343	3233
623	5352	3225
624	5360	3216
625	5369	3208
626	5378	3199
627	5387	3191
628	5396	3183
629	5405	3174
630	5414	3166
631	5423	3157
632	5431	3149
633	5440	3140
634	5449	3132
635	5457	3123
636	5466	3115
637	5475	3106
638	5484	3098
639	5493	3089
640	5502	3081
641	5510	3073
642	5519	3064
643	5528	3055
644	5536	3047
645	5545	3038
646	5554	3030
647	5562	3021
648	5571	3013
649	5579	3004
650	5588	2995
651	5596	2986
652	5604	2978
653	5612	2969
654	5621	2960
655	5629	2952
656	5638	2943
657	5647	2935
658	5655	2926
659	5664	2918
660	5672	2909
661	5681	2900
662	5689	2892
663	5698	2883
